rs,Rep,SHL,RDW,SDW,TPB,TRL,TSRL,TNR,NWA,PRL,PC1,PC2,PC3
id26,2,17.63333333,0.0478,0.057566667,0.105366667,72.6533,59.5267,7,0.31,13.1267,110.0431536,22.92480641,13.55738431
id27,2,19.83333333,0.065133333,0.0665,0.131633333,125.8267,113.4,15.3333,0.67,12.4267,72.09121765,-2.49642561,39.6028342
id28,2,21.8,0.0451,0.043633333,0.088733333,334.89,292.9933,15.6667,2.0467,41.8933,123.0219373,31.54552504,-1.840874128
id29,2,13.9,0.049366667,0.062233333,0.1116,252.8267,216.8433,11,1.3867,35.9867,112.4098396,25.18318467,2.930604955
id30,2,23,0.041866667,0.055333333,0.0972,177.2467,143.3267,7.6667,0.9367,33.9200,116.2649247,23.6284722,-9.823781079
id31,2,26.8,0.049833333,0.055833333,0.105666667,403.8067,364.8267,19.3333,2.46,38.9767,-116.4952244,31.58367799,-1.608277684
id32,2,11.75,0.0656,0.0489,0.1145,299.935,261.215,14.5,1.79,38.7250,-128.5888424,44.60423085,-0.177221143
id33,2,21.5,0.0334,0.0494,0.0828,148.37,110.85,5,0.63,37.5200,-129.8275649,45.28087945,0.811261578
id34,2,20.23333333,0.0419,0.051733333,0.093633333,240.9333,197.5467,10,1.2667,43.3867,83.03893897,3.820950341,19.23339468
id35,2,18.25,0.0418,0.0683,0.1101,212.025,173,9.5,1.23,39.0250,-133.3480474,47.79578036,-1.882199454
id36,2,24.16666667,0.060833333,0.0649,0.125733333,332.0667,293.7467,15,1.9,38.3233,-126.483223,46.72048213,1.83982067
id37,2,15.86666667,0.044666667,0.036933333,0.0816,266.9933,227.38,12.3333,1.64,39.6100,-127.3116752,44.3708751,1.697059097
id38,2,20.13333333,0.041266667,0.0605,0.101766667,69.1667,60.92,11,0.3433,8.2467,-120.7336535,36.54954471,3.20568413
id39,2,27.96666667,0.043,0.0865,0.1295,424.98,384.4067,20.3333,2.4767,40.5800,103.4508139,15.84056002,-11.56609984
id40,2,19.43333333,0.045666667,0.059866667,0.105533333,173.2933,147.2333,10.6667,0.9567,26.0567,104.1162262,19.2843891,19.03603404
id41,2,14.6,0.0332,0.049833333,0.083033333,96.72,72.6667,6.6667,0.56,24.0500,115.5633873,20.11827661,-20.34670908
id42,2,13.93333333,0.040333333,0.046433333,0.086766667,109.7533,79.0967,5,0.55,30.6567,107.7223998,23.30407202,19.55253945
